"","x","y","z","result"
"1",-4.5,-4.5,-4.5,-202.094218894028
"2",-1.5,-4.5,-4.5,-217.46414882035
"3",1.5,-4.5,-4.5,-39.6658431499447
"4",4.5,-4.5,-4.5,-249.782724066711
"5",-4.5,-1.5,-4.5,-275.279494278372
"6",-1.5,-1.5,-4.5,-221.551886975437
"7",1.5,-1.5,-4.5,-258.106390759423
"8",4.5,-1.5,-4.5,-213.422600564109
"9",-4.5,1.5,-4.5,-260.21147835107
"10",-1.5,1.5,-4.5,-270.180217839273
"11",1.5,1.5,-4.5,-240.122951218406
"12",4.5,1.5,-4.5,-292.444536821278
"13",-4.5,4.5,-4.5,-231.985051264739
"14",-1.5,4.5,-4.5,-241.935217666927
"15",1.5,4.5,-4.5,-273.452805698804
"16",4.5,4.5,-4.5,-247.179697495681
"17",-4.5,-4.5,-1.5,-208.888941137453
"18",-1.5,-4.5,-1.5,-276.972059118505
"19",1.5,-4.5,-1.5,-205.835513750044
"20",4.5,-4.5,-1.5,-219.646391912832
"21",-4.5,-1.5,-1.5,-269.834508153994
"22",-1.5,-1.5,-1.5,-211.212602900905
"23",1.5,-1.5,-1.5,-246.752094964705
"24",4.5,-1.5,-1.5,-169.543379135722
"25",-4.5,1.5,-1.5,-148.332018901746
"26",-1.5,1.5,-1.5,-132.392011954524
"27",1.5,1.5,-1.5,-168.318838032882
"28",4.5,1.5,-1.5,-281.707027322843
"29",-4.5,4.5,-1.5,-196.51172286643
"30",-1.5,4.5,-1.5,-253.494905045312
"31",1.5,4.5,-1.5,-240.425095993897
"32",4.5,4.5,-1.5,-172.159058306467
"33",-4.5,-4.5,1.5,-132.962347206509
"34",-1.5,-4.5,1.5,-175.742384663522
"35",1.5,-4.5,1.5,-108.062842331118
"36",4.5,-4.5,1.5,-211.473623556114
"37",-4.5,-1.5,1.5,-256.046896503361
"38",-1.5,-1.5,1.5,-162.375760856076
"39",1.5,-1.5,1.5,-245.105994504043
"40",4.5,-1.5,1.5,-173.36759545858
"41",-4.5,1.5,1.5,-255.229370901478
"42",-1.5,1.5,1.5,-236.21119420601
"43",1.5,1.5,1.5,-242.355360035756
"44",4.5,1.5,1.5,-254.785592830287
"45",-4.5,4.5,1.5,-295.584629722586
"46",-1.5,4.5,1.5,-216.941848537564
"47",1.5,4.5,1.5,-264.194635919578
"48",4.5,4.5,1.5,-281.179589954755
"49",-4.5,-4.5,4.5,-226.574726152783
"50",-1.5,-4.5,4.5,-296.376656365957
"51",1.5,-4.5,4.5,-211.140619919711
"52",4.5,-4.5,4.5,-290.135461120981
"53",-4.5,-1.5,4.5,-252.453421797985
"54",-1.5,-1.5,4.5,-202.265441109348
"55",1.5,-1.5,4.5,-286.090584352269
"56",4.5,-1.5,4.5,-191.250417302893
"57",-4.5,1.5,4.5,-165.623242827641
"58",-1.5,1.5,4.5,-276.567577111409
"59",1.5,1.5,4.5,-238.289248609227
"60",4.5,1.5,4.5,-214.895650024144
"61",-4.5,4.5,4.5,-227.364867570749
"62",-1.5,4.5,4.5,-207.606415513165
"63",1.5,4.5,4.5,-151.782649107488
"64",4.5,4.5,4.5,-126.430566561843
