"idx1","idx2","comb","HV"
"13","4","poly_sbx",16399998.6762198
"15","15","poly_sbx",16399914.9824122
"12","16","gauss_sbx",16399882.4999436
"33","8","gauss_sbx",16399871.6697888
"4","15","gauss_sbx",16399735.5118414
"32","15","gauss_sbx",16399726.25956
"5","2","poly_sbx",16399612.7096388
"6","8","poly_sbx",16399598.5920126
"8","4","poly_sbx",16399534.1892036
"16","3","gauss_sbx",16399523.8446472
"17","8","gauss_sbx",16399484.1352237
"12","7","poly_sbx",16399394.2401687
"31","16","gauss_sbx",16399328.7750147
"28","12","gauss_sbx",16399259.6963702
"27","1","gauss_sbx",16399248.2776887
"18","4","gauss_sbx",16399215.4136068
"14","7","poly_sbx",16399115.8285266
"18","5","gauss_sbx",16399109.4491262
"38","5","gauss_sbx",16399099.7322117
"15","2","poly_sbx",16399083.7109375
"14","6","poly_sbx",16399078.3427222
"16","8","gauss_sbx",16399057.533994
"20","7","gauss_sbx",16399043.3693597
"35","14","gauss_sbx",16399035.3134109
"39","0","gauss_cross",16398891.0362252
"22","9","gauss_sbx",16398879.1066137
"13","3","poly_uni",16398875.455547
"22","1","gauss_sbx",16398822.1143734
"8","2","gauss_sbx",16398730.6388519
"20","3","gauss_uni",16398691.2153487
"1","5","poly_sbx",16398650.8194954
"3","16","poly_sbx",16398647.114777
"23","1","gauss_sbx",16398580.4561302
"18","6","gauss_sbx",16398480.4509005
"31","7","gauss_sbx",16398473.5263507
"3","3","poly_sbx",16398448.3501099
"36","14","gauss_sbx",16398402.0907669
"6","3","poly_sbx",16398402.0545819
"38","1","gauss_sbx",16398370.6318914
"34","0","gauss_inter",16398324.7571675
"38","14","gauss_sbx",16398119.8692333
"28","13","gauss_sbx",16398081.5633516
"40","0","gauss_cross",16398045.1635913
"3","9","poly_sbx",16397950.5222565
"35","15","gauss_sbx",16397945.8447233
"12","14","poly_sbx",16397918.9089708
"29","8","gauss_sbx",16397875.3764038
"13","1","poly_sbx",16397832.0281037
"39","5","gauss_sbx",16397775.6935895
"9","12","gauss_sbx",16397711.0027491
"7","1","gauss_sbx",16397708.9346596
"12","15","poly_sbx",16397662.5449463
"40","12","gauss_sbx",16397631.9183415
"15","14","gauss_sbx",16397558.3892773
"19","1","gauss_uni",16397469.0923586
"28","16","gauss_sbx",16397451.2211138
"14","16","poly_sbx",16397439.2733153
"15","4","poly_uni",16397362.0688642
"11","3","poly_sbx",16397291.4499838
"11","0","poly_cross",16397177.0562773
"12","16","poly_sbx",16397176.6849787
"38","4","gauss_sbx",16397174.7675611
"21","13","gauss_sbx",16397163.5273854
"13","15","gauss_sbx",16397151.6015748
"15","2","poly_uni",16397110.975323
"7","8","gauss_sbx",16397082.112057
"20","15","gauss_sbx",16397079.2420823
"24","16","gauss_sbx",16397066.9251706
"19","5","gauss_sbx",16397047.71653
"26","8","gauss_sbx",16397043.4909527
"37","2","gauss_sbx",16396952.438636
"24","9","gauss_sbx",16396938.1595633
"19","7","gauss_sbx",16396900.0604637
"15","2","gauss_sbx",16396841.3889187
"12","2","poly_sbx",16396793.7558113
"29","3","gauss_sbx",16396722.0829731
"34","10","gauss_sbx",16396638.0115308
"19","8","gauss_sbx",16396483.9930252
"14","10","gauss_sbx",16396476.5858143
"14","9","poly_sbx",16396370.9022628
"32","14","gauss_sbx",16396348.8343707
"40","2","gauss_sbx",16396334.6447114
"20","11","gauss_sbx",16396287.2304297
"2","15","poly_sbx",16396240.7535387
"9","10","poly_sbx",16396235.4248555
"35","6","gauss_sbx",16396227.0042835
"3","5","poly_sbx",16396074.2440685
"0","8","inv_sbx",16396053.5083836
"16","4","poly_sbx",16396032.9979631
"31","4","gauss_sbx",16395954.849733
"35","9","gauss_sbx",16395939.0324066
"9","2","poly_sbx",16395931.8239235
"6","2","gauss_uni",16395925.7974156
"26","2","gauss_sbx",16395916.9023584
"14","2","gauss_sbx",16395915.0119518
"10","0","gauss_inter",16395841.8651394
"16","10","poly_sbx",16395802.8500884
"23","12","gauss_sbx",16395787.108556
"6","10","poly_sbx",16395718.8909009
"23","16","gauss_sbx",16395654.2018953
"13","8","gauss_sbx",16395649.6664084
"16","12","gauss_sbx",16395621.243532
"2","3","gauss_sbx",16395581.7209977
"40","3","gauss_uni",16395548.988924
"7","4","poly_uni",16395535.0568543
"31","12","gauss_sbx",16395516.0490777
"7","10","poly_sbx",16395493.765772
"18","8","gauss_sbx",16395410.7670277
"24","13","gauss_sbx",16395316.6836109
"7","13","poly_sbx",16395184.1031633
"22","13","gauss_sbx",16395182.192343
"15","1","poly_sbx",16395087.5653025
"20","2","gauss_sbx",16395013.1456375
"31","10","gauss_sbx",16394860.7568758
"10","15","poly_sbx",16394823.7285323
"10","7","gauss_sbx",16394749.6238648
"11","11","poly_sbx",16394746.169939
"18","1","gauss_sbx",16394732.6362558
"14","0","poly_cross",16394693.8176365
"10","11","poly_sbx",16394692.9446501
"35","2","gauss_sbx",16394605.3036957
"3","3","gauss_sbx",16394528.6982018
"13","13","poly_sbx",16394505.5288656
"20","0","gauss_inter",16394435.5864603
"11","14","poly_sbx",16394399.7424493
"15","9","poly_sbx",16394388.2037843
"36","2","gauss_sbx",16394348.2023849
"10","14","poly_sbx",16394282.1306766
"12","3","poly_uni",16394190.6234262
"36","4","gauss_sbx",16394160.8898102
"17","1","gauss_uni",16394126.327941
"31","4","gauss_uni",16394116.3644725
"39","2","gauss_sbx",16394065.1112528
"11","15","poly_sbx",16393982.4530874
"26","14","gauss_sbx",16393921.706336
"17","5","gauss_sbx",16393886.2234074
"11","4","gauss_sbx",16393869.9720479
"7","12","poly_sbx",16393858.5143963
"38","8","gauss_sbx",16393760.6451082
"15","6","gauss_sbx",16393710.9772817
"39","0","gauss_inter",16393674.7646207
"12","6","gauss_sbx",16393569.7082902
"4","13","poly_sbx",16393545.555546
"11","3","gauss_sbx",16393544.7480228
"15","14","poly_sbx",16393519.3171609
"18","7","gauss_sbx",16393445.5237117
"2","3","poly_sbx",16393427.4076429
"8","8","gauss_sbx",16393341.6175755
"2","4","poly_sbx",16393325.0920159
"17","6","gauss_sbx",16393296.9253298
"11","0","gauss_cross",16393214.0969803
"30","3","gauss_uni",16393147.6502033
"20","10","gauss_sbx",16393146.8129149
"9","3","gauss_sbx",16393118.2764192
"7","16","poly_sbx",16393018.6063521
